,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
192607,35.98,7.12,59.72,26.41,12.02,22.27,18.36,25.52,57.59,5.78,20.05,48.56,27.47,110.78,47.55,41.3,27.74,40.52,92.79,81.22,350.36,13.6,56.7,35.35,66.46,1.19,46.65,10.82,18.03,24.25
192608,36.1,6.75,60.47,27.17,13.33,22.13,19.83,25.8,62.13,5.79,20.46,50.39,28.91,114.29,55.11,41.5,29.3,40.83,91.43,86.81,353.27,14.75,57.74,37.86,67.52,0.9,46.57,11,18.01,25.51
192609,37,8.58,64.03,27.3,14.67,21.18,19.29,26.73,65.53,6.25,21.41,51.21,29.34,116.69,57.11,42.17,29.45,41.18,94.86,85.01,360.96,15.05,59.61,36.82,70.51,0.95,46.11,10.94,18.77,27.21
192610,37.14,8.92,64.42,28.76,14.42,21.23,19.03,26.87,68.47,6.36,21.1,51.02,29.3,114.93,59.69,43.05,29.46,41.3,90.87,86.41,364.16,15.3,59.52,34.77,70.34,0.88,46.15,10.8,18.41,26.16
192611,35.88,8.62,65.08,27.38,15.79,20.14,19.03,26.54,65.06,6.38,20.12,48.9,29.6,108.33,54.81,40.44,28.51,41.9,89.87,83.92,363.74,14.89,58.74,32.8,68.29,0.74,45.03,10.33,17.38,23.94
192612,38.12,9.25,67.68,27.82,14.72,19.91,19.35,27.81,68.42,6.65,20.55,50.52,30.28,113.84,53.21,43.6,30.92,41.7,89.3,86.7,369.65,15.45,60.3,33.91,69.03,0.78,47.72,10.73,18.24,24.87
192701,37.6,8.88,68.97,27.94,14.42,20.24,19.28,27.62,70.73,7.03,20.93,52.06,31.62,109.94,58.62,44.31,30.86,42.3,93.56,86.12,371.52,16.32,64.44,32.34,71.05,0.85,47.91,10.8,18.54,24.29
192702,37.15,8.83,72.95,28.43,15.82,20.99,19.06,28.85,70.67,7.45,20.51,51.71,31.94,108.81,58.01,43.82,32.1,40.48,95.02,84.41,378.52,16.55,63.37,31.29,72.78,0.7,46.5,10.95,18.14,23.33
192703,38.75,9.96,73.45,28.83,16.04,21.78,19.55,29.16,77.5,8.02,21.36,53.34,34.29,113.49,63.06,45.81,33.75,42.76,95.58,87.9,393.55,18.02,65.87,32.86,76.24,0.72,47.88,11.64,18.57,23.13
192704,39.14,8.61,77.03,28.79,15.87,21.65,19.55,29.4,81.51,7.55,21.87,53.82,33.35,112.85,63.88,44.72,34.76,45.09,88.35,87.84,500.46,16.52,68.43,29.67,77.68,0.58,47.67,11.31,18.65,23.63
192705,40.13,8.75,80.09,27.67,15.72,21.9,20.69,30.03,83.7,7.54,21.65,53.49,33.91,119.95,65.6,44.16,35.72,45.2,83.09,89.13,489.8,16.99,70.55,30.93,78.13,0.51,49.44,11.92,19.09,24.84
192706,42.56,9.77,89.13,27.65,16.21,24.03,21.35,31.08,86.9,8.54,24.66,55.14,36.71,129.82,68.34,49.01,35.8,46.65,86.76,97,506.18,20.02,73.24,32.45,83.25,0.49,50.5,12.43,20.95,24.94
192707,40.51,10.75,88.9,23.11,16.43,21.01,18.87,33.05,85.18,9.02,22.44,55.02,33.41,103.9,67.02,46.6,35.93,44.04,93.23,100.48,421.56,15.68,75.49,32.35,78.44,1.79,47.61,13.15,22.86,19.29
192708,42.44,11.15,92.78,23.36,16.73,22.11,19.98,36.12,100.03,9.39,23.86,61.97,36.57,119.16,76.02,51.95,39,44.72,95.85,105.48,437.31,15.9,80.16,36.06,82.77,1.98,52.3,13.74,24.33,20.61
192709,43.4,10.7,95.94,24.75,17.64,22.07,20.26,36.02,101.82,9.43,23.56,64.08,36.74,127.58,81.08,54,39.19,45.81,94.97,108.73,439.17,17.18,81.17,37.24,81.11,1.93,56.1,13.77,24.72,21.61
192710,45.69,11.45,99.89,25.32,19.27,22.49,21.05,37.99,107.56,9.57,24.37,66.13,38.53,126.77,86.01,55.7,41.41,46.41,97.92,117.36,462.04,17.49,84.36,38.49,84.25,2.04,60.28,14.5,26.06,21.71
