,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
197810,280.54,185.12,997.41,101.1,153.78,373.84,58.22,382.06,393.96,53.96,102.83,184.96,166.89,181.26,497.19,360.69,164.2,232.82,697.23,388.59,1347.69,54.55,272.07,307.16,159.43,51.37,148,136.8,138.85,54.11
197811,251.26,158,915.24,83.37,133.15,338.53,49.13,332.56,358.91,43.64,87.19,162.36,143.66,156.62,443.53,303.29,146.86,189.87,620.72,358.53,1313.96,44.47,243.47,281.07,125.37,42.71,129.45,105.89,122.91,45.11
197812,254.77,164.3,930.12,89.11,136.05,348.38,50.54,349.81,359.33,45.24,87.71,163.72,147.83,160.03,434.54,328.98,143.52,201.55,657.85,366.15,1333.51,46.59,257.16,284.83,130.63,45.6,131.19,111,125.05,47
197901,259.11,168.76,950.08,90.63,139.16,356.99,51.2,361.28,358.28,41.4,88.66,163.74,152.24,155.3,432,346.21,149.72,197.1,680.05,358.88,1330.23,47.06,274.48,288.81,129.52,46.91,129.8,107.48,126.66,48.33
197902,263.79,179.71,955.25,95.39,149.91,370.08,57.05,368.47,380.64,44.75,96.1,185.55,161.61,165.97,455.88,361.87,165.98,210.91,704.71,379.58,1378.7,49.38,285.86,312.81,133.99,49.54,138.25,115.17,133.68,50.88
197903,253.94,171.77,917.95,89.78,143.88,350.08,55.16,352.47,369.41,44.49,92.61,178.33,156.34,155.63,433.34,317.41,167.34,209.63,702.72,369.98,1348.85,46.49,276.03,298.54,125.8,48.48,131.34,109.47,128.98,49.16
197904,258.71,184.65,962.16,96.06,149.8,371.04,60.48,371.5,403.89,47.86,100.56,194.32,167.43,163.26,461.79,338.52,180.54,243.4,771.97,376.01,1346.29,50.92,300.47,324.18,137.65,52.09,138.73,118.85,138.29,53.38
197905,258.75,188.7,960.15,98.21,152.24,372.93,60.13,375.38,395.01,48.24,104.25,192.21,164.11,162.7,473.44,334.75,181.56,224.18,809.66,363.84,1317.16,52.78,301.47,316.34,137.68,51.78,139.44,127,139.97,54.75
197906,253.96,179.12,924.38,97.03,147.92,362.19,60.84,368.85,380.91,47.88,102.58,185.78,164.23,160.23,458.21,315.79,185.33,238.91,785.15,365.11,1325.94,50.93,293.68,311.49,140.97,50.97,135.73,122.86,140.01,54.17
197907,261.65,195.48,989.8,97.66,150.07,364.34,59.04,356.39,396.66,47.54,101.77,190.73,159.13,168.3,476.02,331.51,218.07,312.65,753.8,403.58,1245.25,47.96,275.92,326.17,151.04,51.99,136.78,119.06,146.24,54.33
197908,265.3,196.66,1037.21,102.59,154.84,365.46,61.1,359.25,416.34,47.7,105.71,200.52,164.73,171.66,478.17,343.68,224.07,300.84,768.05,410.29,1271.73,50.2,270.97,321.64,166.4,52.78,138.15,122.53,150.72,54.98
197909,281.84,218.94,1118.45,111.08,166.35,390.64,66.34,393.4,442.54,49.35,114.24,213,174.53,172.43,496.24,387.7,236.41,309.63,822.93,414.62,1268.63,53.74,285.6,347.32,176.69,57.18,149.9,129.97,158.33,58.57
197910,277.61,216.19,1058.96,113.14,166.83,376.33,65.19,391.11,452.44,48.07,114.12,217.89,171.98,164.32,502.84,388.78,256.33,318.91,882.72,403.34,1235.55,53.67,281,341.85,169.51,59.26,146.67,125.34,155.87,58.3
197911,255.71,195.37,1019,104.07,154.91,349.56,59.25,373.49,415.43,43.31,102.54,192.01,157.76,153.1,443.66,378.41,227.3,265.34,860.82,376.92,1195.31,48.52,260.46,310.85,149.85,53.25,134.48,110.14,140.07,52.98
197912,268.59,210.52,1076.11,113,158.37,355.16,63.47,407.22,438.99,44.76,106.02,191.17,170.03,159.2,420.5,419.56,248.53,312.93,935.45,402.33,1222.21,53.75,279.93,309.88,159.11,58.13,138.75,110.92,148.92,56.76
198001,277.05,218.15,1105.13,123.11,166.03,369.22,66.3,415.13,475.14,49.4,108.4,206.43,175.53,166.32,424.59,453.86,292.31,330.53,957.17,395.46,1198.66,56.41,285.44,319.6,164.38,64.35,140.59,116.86,152.08,60.25
198002,284.64,241.69,1098.15,130,172.43,375.98,67.06,412.46,500.58,52.38,117.01,242.29,189.01,179.51,471.35,558.49,337.65,355.7,1091.28,399.27,1173.72,60.42,307.39,339.28,179.51,68.25,139.97,122.76,153.8,64.75
198003,268.93,234.85,1035.29,125.16,160.53,355.64,66.33,390.7,491.54,51.52,113.8,239.11,182.3,170.37,434.95,509.39,353.45,352.24,1233.8,381.54,1161.44,58.07,294.3,337.34,170.58,66.61,132,115.71,146.45,63.53
198004,245.18,162.21,1022.76,113.67,141.42,338.72,62.92,386.31,429.96,44.45,98.41,194.16,158.25,155,391.04,445.91,276.46,276.83,1017.31,353.59,1153.04,49.32,256.53,298.76,147.79,60.27,122.31,99.91,133.13,53.35
198005,262.69,169.42,1120.56,118.39,145.33,352.43,64.87,407.97,450.66,44.52,102.22,200.02,158.73,158.49,379.73,436.58,279.04,315.49,1084.63,395.54,1267.9,54.32,257.9,308.02,147.66,58.93,128.27,107.1,142.93,56.28
198006,284.13,184.4,1210.65,123.58,158.46,374.95,65.82,433.83,486.3,47.67,110.73,208.62,167.84,173.16,387.49,435.9,304.68,365.7,1119.85,409.45,1340.43,58.41,269.65,330.61,163.9,66.42,140.07,112.73,154.2,60.31
198007,292.13,234.71,1293.35,111.69,162.78,367.47,67.54,383.14,469.87,47.46,116.04,210.28,171.07,166.08,395.55,403.68,292.53,399.41,933.35,463.15,1262.05,59.7,250.73,324.35,160.15,64.56,142.62,115.94,155.4,55.48
198008,306.79,255.62,1477.54,122.56,180.62,404.78,77.51,418.79,509.15,52.7,130.75,238.82,190.83,190.09,451.92,449.08,316.32,423.27,952.62,462.21,1274.45,67.35,291.63,358.84,187.81,72.18,157.71,126.79,162.18,61.45
198009,304.68,257.08,1454.95,127.09,193.85,405.93,78.45,423.17,522.23,53.74,132.76,239.47,193.18,187.11,475.1,455.89,333.95,422.49,986.12,452.44,1332.38,72.16,302.44,356.02,189.47,77.03,157.62,127.35,165.14,62.63
198010,300.79,259.38,1426.5,131.31,201.48,406.33,81.29,438.05,531.38,53.44,134.18,249.91,204.11,190.24,483.71,471.48,375.06,452.1,1053.31,449.58,1305.94,76.27,308.88,354.61,195.04,82.79,157.94,131.46,168.64,65.65
198011,296.21,259.99,1477.33,131.75,200.04,410.21,81.77,434.92,530.86,54.18,138.21,246.15,211.76,194.06,462.4,457.55,373.39,453.62,1135.66,455.13,1263.24,79.33,316.7,355.31,200.14,82.44,154.67,129.43,167.15,68.22
198012,293.54,259.47,1506.19,154.5,206.39,433.34,83.83,471.39,576.44,53.75,146.76,262.7,237.71,216.39,453.94,535.52,398.65,518.73,1407.35,487.06,1194.43,87.45,346.28,373.81,232.61,92.69,155.65,129.18,176.84,75.63
198101,303.36,248.14,1512.23,150.17,208.63,427.42,82.02,495.53,563.03,53.96,140.85,250.92,229.79,206.17,459.61,562.02,367.45,467.66,1257.18,474.83,1201.98,84.03,344.1,362.93,218.84,86.67,157.63,130.71,182.11,77.02
198102,309.51,259.23,1491.43,145.34,206.26,425.24,88.06,490.86,572.41,58.56,138.09,252.64,214.07,200.99,453.62,518.02,337.49,428.09,1139.63,460.15,1268.28,79.75,315.59,370.82,228.23,83.91,158.96,131.68,177.77,71.94
198103,314.98,265.77,1532.22,150.35,213.04,463.38,90.01,493.34,591.28,60.64,143.68,259.66,219.03,203.21,486.9,497.88,323.73,424.89,1126.77,449.84,1334.45,80.16,315.92,394.84,231.88,82.04,163.04,141.08,180.98,72.63
198104,338.01,286.13,1608.35,177.17,233.15,477.92,98.45,529.33,606.47,63.2,155.08,310.84,231.79,217.51,524,509.62,344,441.63,1105.39,459.25,1347.5,87.8,331.3,418.02,264.65,92.89,184.64,154.21,192.26,76.73
198105,336.04,294.27,1624.47,180.73,246,474.42,95.01,548.82,591.32,69.69,152.34,302.16,231.41,228.32,532.41,513.79,342.3,411.24,1024.64,444.41,1430.92,91.76,330.96,407.03,269.52,91.56,192.26,160.94,192.82,78.49
198106,343.85,296.34,1643.13,183.85,256.87,471.66,97.77,565.08,591.76,69.87,151.17,281.51,229.51,234.36,543.25,522.84,340.1,412.29,978.76,447.89,1505.96,94.26,344.81,402.7,282.71,94.76,199.34,165.79,197.06,82.04
198107,316.74,312.75,1687.04,155.53,245.17,454.01,94.39,445.85,594.63,70.42,145.15,254.8,223.96,182.79,539.77,447.17,303.13,361.51,687.8,486.84,1239.19,89.13,276.27,377.66,254.82,92.09,198.28,144.48,193.66,58.58
198108,312.49,309.05,1724.49,144.53,239.95,439.85,95.48,427.9,570.17,63.72,137.6,257.53,226.17,172.62,520.56,415.53,292.49,392.75,743.61,500.12,1255.78,85.92,265.95,362.85,242.91,88.59,193.76,135.31,187.55,57.7
198109,295.68,289.14,1613.62,135.53,228.89,410.16,90.97,394.71,530.18,59.1,129.16,236.43,210.08,165.64,469.38,364.65,242.21,343.01,691.74,491.17,1221.04,80.6,246.19,334.29,224.48,86.05,182.84,121.16,178.33,53.18
198110,287.76,286.91,1610.42,134.26,220.31,398.75,87.65,391.94,480.82,57.06,117.1,213.51,189.96,156.34,457.07,351,206.1,312.22,585.1,459.64,1254.96,73.89,237.83,313.65,211.34,79.57,178.03,117.23,173.73,48.65
198111,314.19,310.73,1700.05,149.55,239.65,403.56,88.6,422.47,508.95,61.15,117.17,215.17,198.45,164.3,416.63,378.13,208.02,354.03,640.09,478.83,1379.89,81.72,249.77,317.58,231.98,86.72,187.38,131.39,186.58,53.13
198112,317.79,319.09,1754.54,150.27,250.97,424.68,89.52,440.9,524.66,61.03,123.79,223.35,209.85,171.78,423.65,366.25,212.7,371.87,681.27,502.09,1393.06,84.48,253.2,347.8,242.45,88.37,187.49,138.19,197.26,53.76
198201,317.49,311.38,1643.41,148.91,242.57,417.27,86.72,437.05,509.78,61.36,121.17,216.84,204.92,170.66,436.81,366.37,198.34,349.15,637.7,486.23,1370.42,83.58,253.33,340.24,235.01,85.66,185.15,133.02,188.66,52.18
198202,315,316.84,1649.5,157.19,231.77,439.21,86.23,442.78,484.47,56.22,113.09,197.56,195.43,167.03,432.46,354.3,168.54,321.26,585.05,480.27,1379.44,79.86,261.88,327.86,226.68,83.7,187.7,135.82,184.58,50.28
198203,311.32,309.93,1580.38,147.32,227.18,422.72,82.57,427.77,445.63,53.87,105.7,186.05,180.49,158.9,413.22,329.63,154.37,279.46,494.68,473.45,1276.87,75.4,248.49,316.38,216.87,79.89,187.37,131.62,178.73,48.44
198204,319.16,323.44,1628.65,158.16,226.3,427.36,82.75,418.86,437.36,53.87,102.48,175.92,172.12,162.57,437.65,329.7,142.15,259.25,477.93,481.35,1300.73,72.16,240.29,310.44,220.81,79.26,197.81,142.12,170.69,47.72
198205,338.66,355.5,1744.87,164.25,237.71,441.9,89.17,449.44,463.73,59.36,105.37,178.53,172.58,173.18,459.85,351.73,141.61,266.35,499.52,496.73,1243.11,78.35,257.77,320.4,233.39,83.09,210.68,149.41,176.24,50.94
198206,328.16,335.94,1850.81,149.1,223.5,437.68,88.56,437.56,444.21,57.38,98.7,164.24,157.67,165.75,454.36,330.94,130.84,239.08,507.59,488.24,1205.72,74.5,242.16,300.1,192.72,81.52,204.21,146.41,165.8,48.75
198207,332.64,351.93,1890.75,139.8,217.15,436.04,91.79,380.34,436.54,56.37,95.69,153.81,140.51,155.05,488.41,327.65,108.1,226.11,401.75,495.59,1052.85,66.74,218.76,296.73,169.05,77.62,210.05,134.83,162.46,39.14
198208,333.53,405.29,1786.7,139.17,213.79,446.27,90.13,384.94,416.58,56.89,92.27,146.69,131,152.38,470.14,338.23,101.62,200.3,371.08,479.52,1065.28,65.78,223.95,289.47,158.88,76.22,212.56,134.41,157.9,39.21
198209,359.02,418.91,2010.9,144.55,240.39,503.57,99.94,434.37,478.52,61.87,106.13,164.52,145.89,174.16,538.26,407.73,124.05,220.61,405.48,530.77,1179.84,74,251.32,337.82,177.54,88.32,236.48,151.65,176.4,42.12
198210,369.16,385.96,2089.76,146.98,260.22,503.22,110.46,442.57,475.42,63.23,108.11,155.56,140.13,172.08,544.2,407.32,127.12,214.05,415.68,532.16,1213.49,78.73,254.32,337.43,174.64,92,249.59,154.94,187.12,43.27
198211,397.65,412.83,2337.94,178.86,306.61,561.87,125.85,481.06,538.36,73.72,129.4,171.01,156.44,202.94,638.12,462.57,145.47,232.95,438.08,553.71,1311.52,92.71,297.22,389.7,208.11,109.02,294.61,173.89,215.06,50.67
198212,413.98,439.08,2279.21,192.8,339.78,610.99,137.86,508.69,550.93,76.23,144.8,180.09,164.7,216.15,686.4,473.71,150.48,230.71,406.82,548.87,1391.69,103.24,327.59,407.91,231.35,120.99,328.54,184.74,227.95,55.35
198301,431.03,421.56,2260.18,166.68,351.35,602.92,138.37,513.92,543.06,79.43,150.14,192.33,172.25,219.3,726.75,497.56,169.91,233.09,436.89,567.59,1400.71,103.14,338.07,419.23,229.14,121.3,320.84,181.68,220.95,56.12
198302,426.82,427.59,2222.39,176.27,340.34,627.96,135.73,525.96,591.77,82.47,154.85,209.7,179.19,232.42,743.54,506.5,201.68,248.82,457.14,585.04,1574.46,111.45,366.54,425.11,244.07,127.51,324.14,183.61,221.82,59.75
198303,430.15,469.54,2255.78,192.56,368.04,653.85,148.54,547.89,612.07,87.06,161.28,217.25,177.21,243.46,742.27,535.4,173.65,228.71,449.61,588.15,1544.77,118.78,378.57,451.83,257.6,138.35,350.03,202.82,233.75,62.64
198304,451.69,521.03,2372.85,186.57,405.2,654.55,167.64,579.31,616.74,93.87,171.82,223.27,178.74,238.65,735.07,566.64,179.72,226.58,483.72,585.22,1577.2,121.45,381.79,462.68,261.78,143.85,386.61,211.15,249.58,63.8
198305,474.22,547.55,2480.68,196.04,440.93,698.05,181.97,608.3,670.12,99.54,179.32,229.93,188.58,240.61,851.78,603.78,200.24,232.37,534.96,603.86,1691.75,130.12,416.58,499.48,277.64,154.13,425.55,228.67,274.16,69.43
198306,472.39,525.51,2341.03,211.11,440.26,654.5,184.27,592.07,703.08,101.52,184.52,250.92,199.1,256.02,834.54,607.4,221.25,258.26,541.07,612.2,1667.93,134.97,429.46,512,291.3,157.25,425.71,236.07,277.11,74.25
198307,463.61,448.37,2128.24,204.44,437.1,619.04,188.02,529,701.04,105.15,175.14,259.98,202.06,255.39,951.74,630.08,190.29,272.26,537.59,640.04,1424.68,140.87,411.02,481.58,305.87,154.43,443.64,215.5,274.19,74.93
198308,453.08,442.21,2152.93,191.7,424.71,579.93,177.15,503.44,700.37,101.12,169,260.61,196.79,236.76,930.88,596.8,191.9,268.01,535.53,645.8,1373.05,129.24,393.19,477.04,295.28,144.55,435.22,203.41,267.03,73.74
198309,460.71,459.75,2257.35,189.47,414.51,569.22,165.15,495.89,761.56,100.47,161.34,275.88,192.85,230.13,897.12,575.44,194.82,269.94,574.76,649.16,1401.79,126.15,390.55,476.92,287,141.23,409.98,202.95,269.77,69.81
198310,482.04,485.99,2437.97,193.66,429.47,592.27,166.52,501.98,757.75,102.12,166.99,270.16,200.07,237.72,938.54,607.81,177.07,280.26,550.35,679.14,1434.55,129.07,400.42,490.81,290.54,145.24,417.8,210.09,274.24,71.93
198311,497.52,474,2496.58,186.21,406.9,583.79,158.49,490.55,734.73,97.73,159.5,258.49,190.12,231.27,954.62,588.78,156.39,260.86,539.97,695.92,1359.44,116.2,377.04,492.6,294.96,138.79,413.36,203.41,265.94,67.26
198312,512.05,452.28,2504.12,190.26,416.31,632.47,161.69,475.51,747.38,107.65,171.31,282.42,200.82,255.37,949.67,644.05,172.14,268.22,544.39,674.65,1401.18,123.07,384.41,533.15,298.75,145.94,432.27,217.93,272.99,69.81
198401,510.38,438.25,2577.12,197.79,406.55,633.36,157.6,461.15,722.88,105.22,168.95,285.17,204.69,257.44,983.92,634.47,168.66,250.93,568.45,644.27,1358,120.77,389.29,521.96,296.33,143.93,412.58,207.74,271.16,67.99
198402,532.68,431.9,2703.25,191.63,388.55,596.46,145.96,462.21,691.16,102.4,163.26,279.15,201.37,247.79,952.59,618.65,169.76,253.04,599.8,649.45,1413.14,110.67,366.73,501.94,283.48,140.84,387.61,200.7,270.73,65.17
198403,508.95,395.7,2477.57,176.85,356.94,565.64,144.61,450.63,637.29,88.73,151.78,256.28,185.67,228.88,881.16,573.14,180.35,239.89,628.21,621.46,1359.71,103.29,344.54,481.23,261.74,134.19,370.65,188.86,258.02,61.17
198404,519.69,390.48,2419.36,192.98,382.43,581.85,144.68,446.89,673.54,88.03,158.17,277.27,194.08,227.7,859.4,551.48,187.77,245.11,633.11,614.56,1310.83,103.92,351.34,503.3,268.03,137.98,373.68,198.2,263.79,61.66
198405,524.64,393.12,2379.24,192.4,390.94,583.81,145.23,462.93,680.29,85.92,155.84,261.04,191.14,234.28,867.88,562.76,178.63,250.33,661.32,608.35,1339.02,100.95,351.62,503.3,257.58,137.59,377.62,196.48,260.97,62
198406,512.5,414.87,2348.75,181.07,377.69,574.17,138.86,430.34,629.11,82.22,142.29,235.57,176.98,213.19,805.69,548.13,168.82,240.31,585.53,596.57,1341.11,95.93,333.65,465.91,244.65,128.1,358.88,191.48,242.31,58.7
198407,461.15,334.04,2427.95,159.94,373.14,531.65,130.26,313.19,568.72,80.69,134.12,234.57,172.09,178.08,771.6,564.55,136.74,222.35,513.79,605.96,717.05,81.9,278.66,461.71,214.92,118.31,332.84,159.98,236.13,58.55
198408,455.4,327.04,2782.9,158.07,372.14,536.92,123.11,301.82,554.75,73.59,131.08,212.45,162.79,173.1,801.72,583.31,116.78,201.24,476.53,605.47,736.9,74.37,275.43,471.86,210.64,114.12,335.64,156.73,232.07,57.97
198409,491.59,342.86,3033.06,176.29,409.39,578.52,135.92,333.74,625.75,79.42,147.16,247.54,184.27,198.56,871.41,682.42,139.28,225.47,554.92,647.62,785.44,85.21,313.43,519.73,236.5,132.98,366.93,169.73,257.67,65.63
198410,503.68,344.26,3137.7,172.57,402.3,567.18,133.45,322.18,605.09,78.16,148.67,241.5,180.94,190.09,904.01,663.43,140.88,224.63,557.09,674.11,809.08,82.71,300.61,496.44,239,133.65,369.55,167.66,265.37,65.8
198411,515.63,360.54,3230.22,173.42,399.09,574.06,127.87,328.23,595.47,79.1,150.15,241.91,175.61,191.34,921.55,701.9,129.79,204.73,545.25,691.61,810.45,81.58,297.55,474.08,244.76,134.42,364.79,169.24,268.22,67.04
198412,521.78,359.61,3267.35,167.8,397.84,569.15,124.59,329.21,587.63,80.37,150.44,238.22,171.39,183.67,886.19,676.02,134.36,211.29,544.76,706.23,807.5,78.47,286.66,472.55,239.69,132.34,350.71,162.06,269.11,65.06
198501,525.77,386.21,3307.47,173.34,416.49,587.97,124.16,341.53,589.16,82.15,154.62,243.13,172.56,191.82,925.08,724.19,125.86,201.04,548.65,719.2,839.77,80.27,295.79,488.75,250.75,139.71,349.91,161.19,282.78,68.04
198502,528.86,403.6,3374.71,199.3,468.52,636.01,139.04,369.91,636.87,88.69,173.89,271.04,192.63,219.53,1005.86,796.96,143.35,218.13,585.45,732.12,897.86,92.96,332.54,520.5,277.49,163.28,396.98,180.2,307.73,73.21
198503,559.31,406.31,3690.16,204.86,476.22,648.64,143.03,385.4,639.74,92.61,175.21,269.03,192.7,216.12,981.31,840.78,139.07,215.67,609.52,743.61,932.53,96.67,325.99,519.65,284.32,163.37,406.07,187.36,314.17,75.58
198504,596.08,424.33,3787.08,206.09,494.4,628.13,149.17,398.37,623.47,88.97,166.93,259.65,185.62,204.41,932.11,829.19,150.54,206.97,619.65,782.68,975.87,93.92,309.99,507.81,277.04,163.76,408.05,190.49,314.67,74.6
198505,603.44,453.2,3479.16,206.87,500.31,616.75,148.92,390.93,627.61,87.61,163.09,243.36,179.2,202.75,890.32,801.1,150.46,201.97,650.45,783.06,992.83,92.27,299.73,513.17,269.69,163.66,413.71,194.67,324.48,74.64
198506,678.58,488.41,3458.23,214.28,534.91,641.86,162.88,432.65,678.87,90.61,175.13,246.42,185.34,218.41,976.3,867.93,151.5,211.6,596.84,818.27,1057.53,97.29,309.96,537.1,301.54,173.99,461.76,208.88,345.97,80.05
198507,614.68,500.79,3406.95,190.95,524.42,591.57,161.81,378.82,673.91,88.6,172.95,271.56,176.13,207.48,989.41,823.58,144.66,201.96,479.63,866.69,937.88,93.99,286.69,558.44,288.94,140.13,430.25,191.59,331.56,88.73
198508,600.92,506.19,3229.2,191.04,506.04,606.04,166,377.61,724.65,91.5,180.01,292.37,183.3,218.03,998.12,857.91,161.46,209.33,481.26,821.67,899.82,96.7,302.92,585.44,294.2,141.46,408.16,192.15,328.16,93.94
198509,575.97,513.18,3589.45,199.12,495.4,589.83,145.94,375.19,710.73,92.15,175.71,289.59,178.11,217.71,933.26,853.2,161.78,211.63,489.66,829.87,909.47,95.32,296.13,580.06,291.18,140.47,406.63,188.29,327.06,94.46
198510,600,508.61,3355.69,194.37,468.58,573.07,140.63,352.09,684.57,92.02,167.85,276.25,170.77,212.4,924.02,784.31,145.68,211.98,495.7,783.77,866.03,89.43,284.6,567.83,271.37,135.58,392.72,180.36,311.71,89.15
198511,574.78,536.57,3308.99,203.89,486.25,601.81,152.26,349.09,718.25,96.21,174.85,267.37,174.8,224.28,936.86,782.23,143.87,216.37,531.94,828.53,916.21,93.9,294.6,583.31,276.97,144.06,424.6,189.09,335,93.82
198512,637.69,547.42,3614.16,219.21,519.97,665.1,168.01,386.49,763.4,99.91,190.72,282.66,187.61,239.72,1003.99,845.37,151.36,220.1,528.73,852.86,1022.86,102.59,319.78,630.53,294.29,160.82,457.89,207.81,361.01,103.11
198601,666.08,614.89,3949.1,231.47,554.57,703.96,168.42,404.93,821.3,107.31,200.65,292.06,194.95,247.04,1057.84,869.87,146.29,213.12,525.4,893.11,1048.78,108.11,349.38,660.43,300.84,171.62,478.4,215.63,379.99,113.59
198602,675.39,608.42,4158.92,239.53,561.33,701.13,178.99,411.97,835.4,110.16,202.19,299.97,199.67,247.4,1106.29,868.54,152.44,207.77,486.05,922.78,1003.41,108.82,349.94,692.3,322.08,177.03,487.57,220.85,393.73,118.77
198603,744.58,690.51,4648.33,253.51,632.59,778.2,196.07,439.94,941.87,121.14,227.77,314.8,218.54,267.91,1217.34,967.52,144.74,201.83,492.64,979.18,1085.74,118.57,368.81,755.6,344.32,192.51,525.41,246.04,429.79,132.13
198604,834.87,807.18,5160.27,267.84,671.2,825.01,207.41,498.56,1002.79,132.76,247.14,326.82,229.72,280.94,1346.71,1026.38,146.16,225.43,511.7,1007.59,1134.36,123.8,369.77,790.97,354.9,208.41,574.17,263.2,450.91,140.06
198605,853.02,783.79,5348.36,291.6,662.94,810.87,200.03,508.61,1027.86,130.07,242.52,308.56,227.73,283.9,1240,1008.26,138.59,214.23,526.97,968.67,1175.21,129.62,383.78,774.69,348.56,214.42,566.84,277.6,438.9,140.96
198606,919.33,834.61,5864.06,305.72,741.07,859.63,219.5,548.72,1083.21,135.18,256.7,313.58,229.39,287.27,1285.83,1026.57,143.08,216.54,574.06,999.46,1246.87,135.35,379.73,816,356.51,227.1,632.51,291.44,462.8,150.47
198607,874.16,839.44,4881.49,254.83,669.25,840,226.66,479.67,899.48,168.3,232.22,339.69,188.31,182.04,1123.77,1054.18,158.74,146.21,505.45,1033.01,1160.48,127.42,356.08,707.88,345.74,149.36,537.38,268.68,445.74,211.13
198608,843.52,811.64,4749.72,223.82,622.72,776.22,206.42,456.27,834.7,155.04,209.36,287.77,172.41,169.04,1026.47,961.85,156.31,141.02,491.68,1081.68,1120.35,114.93,329.52,675.03,308.54,134.96,489.02,238.2,424.26,194.86
198609,881.58,794.57,4948.31,232.49,637.69,813.46,213.34,475.91,884,156.43,229.78,314.43,183.11,184.24,1095.29,1070.98,180.9,165.6,577.01,1165.79,1196.07,120.68,347.43,726.76,325.75,138.46,499.71,244.4,455.06,210.36
198610,778.99,727.61,4367,213.57,568.97,742.97,192.03,420.6,834.79,145.88,218.41,338.4,167.67,172.19,1018.33,988.68,192.2,157.87,579.71,1048.67,1087.68,111.38,326.01,673.87,333.33,129.26,453.33,224.41,408.58,189.75
198611,870.8,785.25,4826.27,239.64,609.41,814.39,215.52,461.47,904.22,153.7,231.8,351.31,165.59,180.59,1106.71,1004.14,199.48,170.1,608.09,1099.38,1147.05,120.33,328.78,713.89,351.79,137.78,483.92,239.23,423.36,205.85
198612,880.17,820.88,4821.98,235.99,619.53,876.36,216.68,467.15,948.77,166.62,233.36,325.36,168.54,190.49,1141.33,1061.61,209.13,173.58,644.77,1104.26,1205.13,123.47,345.34,741.09,349.02,141.73,482.99,244.08,422.01,217.32
198701,860.99,801.85,4655,225.57,615.85,881.42,202.9,468.81,921.39,145.29,228.71,316.86,169.73,181.49,1086.88,1020.77,205.38,165.16,643.08,1061.23,1179.15,122.55,331,752.19,330.44,134.59,452.65,238.08,414.9,205.21
198702,967.78,978.51,5638.12,269.01,699.64,1012.54,226.11,527.11,1039.41,156.7,267.34,358.03,194.11,211.93,1292.61,1064.73,238.09,176,748.24,1155.48,1237.82,146.51,384.19,902.74,357.24,151.75,499.01,264.61,457.2,240.26
198703,1020.09,1007.38,5474.76,298.26,765.74,1058.03,256.28,591.85,1090.94,166.37,280.31,387.71,209.48,221.5,1327.15,1133.18,273.37,175.33,738.79,1123.83,1237.33,156.33,421.93,881.58,374.24,161.22,559.82,290.74,475.94,252.38
198704,1052.29,1015.34,5479.71,307.43,767.99,1088.67,258.78,592.14,1161.34,169.52,293.54,419.93,206.84,221.57,1458.02,1103.11,324.75,173.65,829.66,1098.2,1246.37,157.04,432.91,927.41,358.2,163.57,575.18,307.28,468.62,263.49
198705,1004,1058.45,5319.08,320.99,735.85,1069.6,246.27,577.36,1174.98,179.62,282.73,432.61,203.51,220.06,1573.11,986.79,338.08,171.69,839.43,1046.07,1211.74,156.56,455.2,896.97,353.31,156.49,560.56,289.96,447.48,256.75
198706,1049.43,1058.06,5372.56,322.91,764.77,1081.8,242.82,584.58,1178.01,194.79,277.05,457.86,208.03,218.74,1524.59,986.9,323.35,179.31,842.8,1019.28,1243.85,160.64,456.95,860.19,375.98,156.51,564.3,294.24,444.68,280.06
198707,929.66,1005.85,5624.22,300.81,916.1,1042.95,255.86,495.7,987.05,200.73,268.94,480.91,209.53,195.84,1466.57,890.01,416.6,173.65,854.46,1052.18,1247.21,148.86,419.6,884.59,363.42,147.39,528.27,286.99,351.48,275.92
198708,962.48,1089.36,6134.7,320.91,976.47,1094.4,268.23,525.22,1064.33,212.34,290.38,574.2,233.81,206.09,1572.37,984.77,442.84,183.09,891.12,1029.92,1351.06,149.89,427.35,933.84,381.29,154.77,570.39,294.5,358.71,301.61
198709,990.31,1107.55,7274.32,339.11,967.94,1152.12,274.52,536.92,1113.38,163.74,297.64,547.54,237.73,218.59,1640.14,990.09,425.73,192.28,921.42,1060.44,1444.61,159.93,458.84,989.33,382.85,156.55,588.29,306.2,378.51,311.61
198710,989.19,1116.25,7261.83,334.63,948.94,1152.51,254.88,520.11,1107.14,161.4,296.8,569.29,249.49,223.39,1523.29,993.2,446.83,181.01,892.34,1029.78,1500.03,164.26,444.07,1017.79,377.84,151.79,552.38,291.4,371.96,303.03
198711,822.21,913.74,5667.07,226.24,732.58,908.05,176.72,419.42,804.95,108.66,213.36,394.68,165.87,151.57,1090.88,689.62,310.55,126.25,731.24,954,1309.97,118.33,333.61,755.28,262.9,108.99,399.66,224.99,293.85,223.03
